Facility Type,Facility Number,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date,Last Visit Date,Inspection Visits,Complaint Visits,Other Visits,Total Visits,Inspect TypeA,Inspect TypeB,Other TypeA,Other TypeB,Complaint Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343617158,A NEW BEGINNING PRESCHOOL LEARNING CENTER,"WILLIAMS, NOVA","WILLIAMS, NOVA",(916) 967-7827,8540 MADISON AVENUE,FAIR OAKS,CA,95628,SACRAMENTO,3,30,LICENSED,5/9/2013,,6/7/2019,2,6,7,15,0,8,1,6,3/23/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343607946,ABRAHAM LINCOLN PRESCHOOL,SCUSD CHILD DEVELOPMENT,"VEIRS, MARY",(916) 228-5867,3324 GLENMOORE DRIVE,SACRAMENTO,CA,95827,SACRAMENTO,3,25,LICENSED,4/12/2002,,10/1/2018,3,0,0,3,0,4,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343601205,ACTION DAY LEARNING CENTER,"MILLER, SHARON","YANKE, KAREN",(916) 988-9633,9371 ELM AVENUE,ORANGEVALE,CA,95662,SACRAMENTO,3,32,LICENSED,9/28/1995,,2/8/2017,2,0,1,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343601111,ACTION DAY LEARNING CENTER,"MILLER, SHARON","CAMPBELL, JOYCE",(916) 985-0976,400 STAFFORD STREET,FOLSOM,CA,95630,SACRAMENTO,3,48,LICENSED,7/24/1995,,1/22/2019,1,15,8,24,0,0,7,3,1/25/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343601174,ACTION DAY LEARNING CENTER,"MILLER, SHARON","LISH, LORI",(916) 988-9689,6822 KENNETH AVENUE,ORANGEVALE,CA,95662,SACRAMENTO,3,51,LICENSED,7/24/1995,,8/2/2019,3,0,2,5,2,1,0,1,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343614377,AL-ARQAM ISLAMIC SCHOOL,AL-ARQAM ISLAMIC SCHOOL,LINDSI WEBSTER,(916) 391-3333,6990 65TH STREET,SACRAMENTO,CA,95823,SACRAMENTO,3,12,LICENSED,9/28/2007,,12/13/2018,3,0,0,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340319904,ALPHABET RANCH,ALPHABET RANCH - CATHERINE ANDERSON (PRESIDENT),"CREED,KIM/WOODS,SHARON",(916) 338-0220,6224 GARFIELD AVE,SACRAMENTO,CA,95841,SACRAMENTO,3,41,LICENSED,1/28/1993,,5/21/2019,2,13,12,27,2,13,3,6,6/7/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343604172,AMERICAN RIVER COLLEGE CHILDREN'S CENTER,AMERICAN RIVER COLLEGE,"KIEFER, MICHELLE",(916) 484-8651,4700 COLLEGE OAK DRIVE,SACRAMENTO,CA,95841,SACRAMENTO,3,87,LICENSED,5/7/1999,,4/30/2019,4,2,2,8,0,0,1,0,7/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343606952,ANGEL'S NEST PRESCHOOL,GREENHAVEN LUTHERAN CHURCH,ROBERTA WOODALL,(916) 428-4651,475 FLORIN ROAD,SACRAMENTO,CA,95831,SACRAMENTO,3,60,LICENSED,9/18/2001,,10/31/2018,3,0,2,5,0,4,1,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343609289,ANGELS IN ACTION LEARNING CENTER,"ANGELS IN ACTION LEARNING CENTER, INC.","MADDY, ELIZABETH",(916) 723-2633,7998 OLD AUBURN RD.,CITRUS HEIGHTS,CA,95610,SACRAMENTO,3,72,LICENSED,10/30/2003,,9/7/2018,3,0,2,5,0,1,2,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343612181,ANNA KIRCHGATER CHILD DEVELOPMENT CENTER,"CONTINUING DEVELOPMENT, INC.","BALL, SVETLANA",(916) 689-9474,8141 STEVENSON AVENUE,SACRAMENTO,CA,95828,SACRAMENTO,3,24,LICENSED,3/7/2007,,3/27/2019,3,0,0,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343602581,ANTELOPE CHRISTIAN ACADEMY PRESCHOOL,ANTELOPE CHRISTIAN CENTER,CAROLYN HEWETT,(916) 722-6169,4533 ANTELOPE ROAD,ANTELOPE,CA,95843,SACRAMENTO,3,90,LICENSED,2/18/1997,,9/5/2018,3,0,4,7,0,9,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343605672,APPLE A DAY PRESCHOOL & INFANT CENTER,"HAINES, ALICE",RAQUEL MESA,(916) 481-5400,5013 EL CAMINO AVENUE,CARMICHAEL,CA,95608,SACRAMENTO,3,36,CLOSED,1/11/2001,11/1/2017,5/26/2016,1,1,0,2,0,0,0,0,6/13/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343617585,APPLE A DAY PRESCHOOL & INFANT CENTER,"HAINES, ALICE","HAINES, ALICE",(916) 396-4337,2921 GARFIELD AVENUE,CARMICHAEL,CA,95608,SACRAMENTO,3,54,CLOSED,8/12/2013,11/1/2017,3/8/2016,1,0,2,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343621461,APPLE A DAY PRESCHOOL & INFANT CTR #1 (PS),"CHANNEY, JASWINDER","CHANNEY, JASWINDER",(916) 481-5400,5013 EL CAMINO AVENUE,CARMICHAEL,CA,95608,SACRAMENTO,3,36,CLOSED,,2/16/2017,1/6/2017,0,0,2,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343621463,APPLE A DAY PRESCHOOL & INFANT CTR #2 (PS),"CHANNEY, JASWINDER","CHANNEY, JASWINDER",(916) 426-1888,2921 GARFIELD AVENUE,CARMICHAEL,CA,95608,SACRAMENTO,3,54,CLOSED,,2/16/2017,,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343622006,APPLE A DAY PRESCHOOL & INFANT CTR (PS),AIRKNM INC,"MESA, RAQUEL",(916) 481-5400,5013 EL CAMINO AVE,CARMICHAEL,CA,95608,SACRAMENTO,3,36,LICENSED,10/16/2017,,7/16/2019,1,2,1,4,0,0,0,0,7/25/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343622004,APPLE A DAY PRESCHOOL & INFANT CTR (PS),AIRKNM INC,"DEWAN, DHARMINDER",(916) 426-1888,2921 GARFIELD AVENUE,CARMICHAEL,CA,95608,SACRAMENTO,3,50,LICENSED,10/16/2017,,4/12/2019,1,5,7,13,0,0,1,3,4/18/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343617401,ARISTA PRESCHOOL OF EAST SACRAMENTO,ARISTA PRESCHOOL OF EAST SACRAMENTO,JENNIFER SCOTT,(916) 231-9173,3022 F STREET,SACRAMENTO,CA,95816,SACRAMENTO,3,62,CLOSED,1/29/2013,11/5/2016,5/24/2016,1,2,0,3,0,0,0,0,9/29/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343621161,ARISTA PRESCHOOL OF EAST SACRAMENTO,"ARISTA GROUP, INC., THE","BROHL, CHARLENE",(916) 231-9173,616 ALHAMBRA BLVD,SACRAMENTO,CA,95816,SACRAMENTO,3,64,LICENSED,11/7/2016,,1/24/2019,1,0,1,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
