FacilityType,FacilityNumber,FacilityName,FacilityNameProper,Licensee,FacilityAdministrator,FacilityTelephoneNumber,FacilityAddress,FacilityAddressProper,FacilityCity,FacilityCityProper,FacilityState,FacilityZip,CountyName,RegionalOffice,FacilityCapacity,FacilityStatus,LicenseFirstDate,ClosedDate,LastVisitDate,InspectionVisits,ComplaintVisits,OtherVisits,TotalVisits,InspectTypeA,InspectTypeB,OtherTypeA,OtherTypeB,ComplaintInfo,AUTO_UNIQUE_ID_2019-09-04_weverka_ChildCareCente,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,Modified
DAY CARE CENTER,343617158,A NEW BEGINNING PRESCHOOL LEARNING CENTER,A New Beginning Preschool Learning Center,"WILLIAMS, NOVA","WILLIAMS, NOVA",(916) 967-7827,8540 MADISON AVENUE,8540 Madison Avenue,FAIR OAKS,Fair Oaks,CA,95628,SACRAMENTO,3,30,LICENSED,5/9/2013,,6/7/2019,2,6,7,15,0,8,1,6,3/23/2018,1,USCGeocoder,93.6349,1,4.1,,,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,10494.31555,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,1,38.6641753,-121.2421554,Exact,
DAY CARE CENTER,343607946,ABRAHAM LINCOLN PRESCHOOL,Abraham Lincoln Preschool,SCUSD CHILD DEVELOPMENT,"VEIRS, MARY",(916) 228-5867,3324 GLENMOORE DRIVE,3324 Glenmoore Drive,SACRAMENTO,Sacramento,CA,95827,SACRAMENTO,3,25,LICENSED,4/12/2002,,10/1/2018,3,0,0,3,0,4,0,0,No Complaints,2,USCGeocoder,62.4818,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,32885.88334,ArealInterpolationGeometricCentroid,Parcel,96.04142012,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.57128726,-121.3138845,Relaxed;Soundex,
DAY CARE CENTER,343601205,ACTION DAY LEARNING CENTER,Action Day Learning Center,"MILLER, SHARON","YANKE, KAREN",(916) 988-9633,9371 ELM AVENUE,9371 Elm Avenue,ORANGEVALE,Orangevale,CA,95662,SACRAMENTO,3,32,LICENSED,9/28/1995,,2/8/2017,2,0,1,3,0,0,0,0,No Complaints,3,USCGeocoder,46.8692,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,3664.268565,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.6929612,-121.2037475,Relaxed,
DAY CARE CENTER,343601111,ACTION DAY LEARNING CENTER,Action Day Learning Center,"MILLER, SHARON","CAMPBELL, JOYCE",(916) 985-0976,400 STAFFORD STREET,400 Stafford Street,FOLSOM,Folsom,CA,95630,SACRAMENTO,3,48,LICENSED,7/24/1995,,1/22/2019,1,15,8,24,0,0,7,3,1/25/2019,4,USCGeocoder,46.7521,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,4416.897838,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.68107519,-121.1678846,Relaxed,
DAY CARE CENTER,343601174,ACTION DAY LEARNING CENTER,Action Day Learning Center,"MILLER, SHARON","LISH, LORI",(916) 988-9689,6822 KENNETH AVENUE,6822 Kenneth Avenue,ORANGEVALE,Orangevale,CA,95662,SACRAMENTO,3,51,LICENSED,7/24/1995,,8/2/2019,3,0,2,5,2,1,0,1,No Complaints,5,USCGeocoder,78.1751,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1988.488415,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.69033006,-121.2438444,Relaxed,
DAY CARE CENTER,343614377,AL-ARQAM ISLAMIC SCHOOL,Al-Arqam Islamic School,AL-ARQAM ISLAMIC SCHOOL,LINDSI WEBSTER,(916) 391-3333,6990 65TH STREET,6990 65Th Street,SACRAMENTO,Sacramento,CA,95823,SACRAMENTO,3,12,LICENSED,9/28/2007,,12/13/2018,3,0,0,3,0,0,0,0,No Complaints,6,USCGeocoder,281.146,1,4.1,,,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,30571494.88,ArealInterpolationGeometricCentroid,ZCTA,60,FeatureClassBased,ReturnAll,,ZCTACentroid,,,1,38.499706,-121.4416464,Relaxed;Soundex,1
DAY CARE CENTER,340319904,ALPHABET RANCH,Alphabet Ranch,ALPHABET RANCH - CATHERINE ANDERSON (PRESIDENT),"CREED,KIM/WOODS,SHARON",(916) 338-0220,6224 GARFIELD AVE,6224 Garfield Ave,SACRAMENTO,Sacramento,CA,95841,SACRAMENTO,3,41,LICENSED,1/28/1993,,5/21/2019,2,13,12,27,2,13,3,6,6/7/2019,7,USCGeocoder,93.7534,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,2312.341216,ArealInterpolationGeometricCentroid,Parcel,99,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.67891382,-121.3344785,Relaxed,
DAY CARE CENTER,343604172,AMERICAN RIVER COLLEGE CHILDREN'S CENTER,American River College Children'S Center,AMERICAN RIVER COLLEGE,"KIEFER, MICHELLE",(916) 484-8651,4700 COLLEGE OAK DRIVE,4700 College Oak Drive,SACRAMENTO,Sacramento,CA,95841,SACRAMENTO,3,87,LICENSED,5/7/1999,,4/30/2019,4,2,2,8,0,0,1,0,7/23/2015,8,USCGeocoder,46.8746,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,367312.3663,ArealInterpolationGeometricCentroid,Parcel,99,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.64935011,-121.348292,Relaxed,
DAY CARE CENTER,343606952,ANGEL'S NEST PRESCHOOL,Angel'S Nest Preschool,GREENHAVEN LUTHERAN CHURCH,ROBERTA WOODALL,(916) 428-4651,475 FLORIN ROAD,475 Florin Road,SACRAMENTO,Sacramento,CA,95831,SACRAMENTO,3,60,LICENSED,9/18/2001,,10/31/2018,3,0,2,5,0,4,1,0,No Complaints,9,USCGeocoder,234.3766,1,4.1,,,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,97.33727811,FeatureClassBased,ReturnAll,,AddressPoint,,,1,38.5050974,-121.5376088,Relaxed,
DAY CARE CENTER,343609289,ANGELS IN ACTION LEARNING CENTER,Angels In Action Learning Center,"ANGELS IN ACTION LEARNING CENTER, INC.","MADDY, ELIZABETH",(916) 723-2633,7998 OLD AUBURN RD.,7998 Old Auburn Rd.,CITRUS HEIGHTS,Citrus Heights,CA,95610,SACRAMENTO,3,72,LICENSED,10/30/2003,,9/7/2018,3,0,2,5,0,1,2,0,No Complaints,10,USCGeocoder,109.2007,1,4.1,,,2,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1043.592806,ArealInterpolationGeometricCentroid,Parcel,96,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,1,38.70583042,-121.2669433,Relaxed,
